attrib_name,average surv>24 months,average surv<24 months,log2FC stratified by survival
DOCK1,-1.055552632,1.272884888,2.328437519
CPNE8,-1.11476963,1.189230876,2.304000506
HOXA9,-1.139247155,1.041567312,2.180814467
VNN1,-1.12047091,1.01924443,2.13971534
SYTL4,-0.876441287,1.144935713,2.021377
HOXA7,-1.099627703,0.90756977,2.007197473
CD109,-0.76741074,1.164711688,1.932122428
HTR1F,-0.688736913,1.170408069,1.859144983
LILRB4,-0.833976743,1.019562296,1.853539038
PRDM16,-1.245446942,0.513125596,1.758572537
OLFML2A,-0.835468314,0.891985467,1.727453782
HOXA6,-1.02422404,0.667734096,1.691958136
CALCRL,-0.756145341,0.909494533,1.665639875
HOXA5,-0.975235633,0.651664345,1.626899978
HOXA10,-0.835903485,0.789714121,1.625617606
WDR49,-0.97215537,0.613405224,1.585560594
HOXA3,-0.953488265,0.620940556,1.574428821
FLJ42875,-1.112237553,0.460281493,1.572519046
HOXB5,-1.046763051,0.503074288,1.549837339
SORT1,-0.740271586,0.794642414,1.534914
HTR7,-0.888877098,0.629524775,1.518401873
MEIS1,-0.63550128,0.863525728,1.499027008
HOXB6,-1.073314794,0.418676921,1.491991715
IL2RA,-0.779314438,0.70796131,1.487275748
MMP7,-0.862619026,0.617836063,1.480455088
METTL7B,-0.766715363,0.700534898,1.46725026
TNNI2,-0.752706188,0.706356503,1.459062691
XIRP2,-0.68551394,0.768524286,1.454038227
PACSIN1,-0.642104587,0.805580682,1.447685269
MYOF,-0.612588834,0.802031493,1.414620326
SLITRK5,-0.462593634,0.944707928,1.407301562
LILRA5,-0.582457966,0.820073399,1.402531365
TNNT1,-0.460556259,0.940378624,1.400934883
SERPINI2,-0.868590754,0.532253718,1.400844472
COBL,-0.586428201,0.812857047,1.399285248
SLC8A1,-0.62324623,0.764855306,1.388101536
C10orf128,-0.697031828,0.6837315,1.380763328
MRC1,-0.679813229,0.688766373,1.368579603
SH3BP4,-0.433540718,0.91481765,1.348358368
PPBP,-0.477234246,0.840285648,1.317519894
THBS1,-0.551647191,0.761638688,1.313285878
SPON1,-0.584952169,0.726362491,1.31131466
FAM196A,-0.539372333,0.764310544,1.303682877
PDE7B,-0.736884104,0.564966529,1.301850633
IL1R2,-0.614031508,0.682101084,1.296132592
RXFP1,-0.680115754,0.61120906,1.291324814
KIAA0125,-0.591073826,0.67853926,1.269613087
LILRB2,-0.615650605,0.645769016,1.261419621
CDCP1,-0.535345057,0.723418748,1.258763805
NKX2-3,-0.993548364,0.262193295,1.255741659
HOXB3,-0.782911309,0.470094509,1.253005817
CNNM1,-0.674918243,0.575920441,1.250838684
AREG,-0.675242248,0.573771219,1.249013467
LCT,-0.657005228,0.586982012,1.24398724
PF4,-0.426276956,0.816823147,1.243100102
GPR126,-0.291223755,0.951254431,1.242478187
SECTM1,-0.566706046,0.672548045,1.239254091
LGALS1,-0.685408464,0.55142889,1.236837354
SPINK2,-0.69240032,0.529092075,1.221492395
SCN2A,-0.602152098,0.605337384,1.207489483
HOXB4,-0.707455619,0.494190827,1.201646446
TLR8,-0.528507752,0.67284841,1.201356163
MS4A4A,-0.48742308,0.706456626,1.193879705
LRRC16A,-0.441382788,0.744413231,1.185796019
H2AFY2,-0.557734993,0.62318054,1.180915533
ENPP2,-0.670088798,0.505130732,1.17521953
HOXB2,-0.725719239,0.445248222,1.170967461
MS4A6A,-0.49834111,0.669660414,1.168001524
HOPX,-0.483925925,0.683991805,1.167917729
LILRA4,-0.517438869,0.648375367,1.165814236
KYNU,-0.504498506,0.660882386,1.165380892
LAMA3,-0.535403058,0.629571407,1.164974465
HLA-DRB5,-0.553870839,0.608201779,1.162072619
ITGB3,-0.332564936,0.826488835,1.159053771
KCNMB1,-0.60280505,0.551550191,1.154355241
NAPSB,-0.524878592,0.628833516,1.153712108
VENTX,-0.771820768,0.38061558,1.152436348
DHRS9,-0.585157966,0.562397987,1.147555952
HOXA4,-0.704714438,0.439468318,1.144182756
KCNK1,-0.43303638,0.710169261,1.14320564
SDPR,-0.370891287,0.767461951,1.138353238
MYCT1,-0.140190789,0.992140194,1.132330984
EPSTI1,-0.41998574,0.709928833,1.129914572
GPR56,-0.483915754,0.644305884,1.128221638
SPOCK3,-0.510698329,0.616819953,1.127518282
PTP4A3,-0.609791892,0.513558826,1.123350718
SPAG6,-0.468381401,0.65294212,1.121323521
LSP1,-0.538794986,0.57458854,1.113383526
PLA2G4A,-0.582575569,0.528453317,1.111028886
HMGA2,-0.275763087,0.829280263,1.105043349
LILRA6,-0.502339225,0.597124802,1.099464027
CDK18,-0.575665754,0.522459302,1.098125056
PEAR1,-0.262480405,0.831165892,1.093646297
