"lthscr_mecom1.genes.results"	"lthscr_mecom2.genes.results"	"lthscr_mecom3.genes.results"	"lthsc_mecom1.genes.results"	"lthsc_mecom2.genes.results"	"lthsc_mecom3.genes.results"
"ENSG00000000003_TSPAN6"	12.6249444363412	9.39414319089533	11.0536124482509	11.8615275268755	21.5490736349366	8.9645738608263
"ENSG00000000005_TNMD"	0.841662962422744	0.939414319089533	1.9506374908678	0	0	0
"ENSG00000000419_DPM1"	131.299422137948	116.487375567102	111.186336979464	90.1476092042537	104.153855902193	92.207045425642
"ENSG00000000457_SCYL3"	43.1941432315352	20.0658898557524	31.9514421004145	40.9934391328817	29.7257499086375	34.7313204436585
"ENSG00000000460_C1orf112"	59.4887381840396	57.9054986286788	59.728519970372	59.82954484556	52.8790323586193	85.6500999731519
"ENSG00000000938_FGR"	9.25829258665018	13.1518004672535	7.15233746651526	26.0953605591261	9.57736605997181	21.771107947721
"ENSG00000000971_CFH"	76.5913295804697	46.9707159544767	60.2031750931498	80.6583871827533	101.304589499352	97.3296590603998
"ENSG00000001036_FUCA2"	83.3246332798517	73.2743168889836	76.7250746408001	102.009136731129	94.5764898422216	70.4359374779209
"ENSG00000001084_GCLC"	47.9747888580964	30.0612582108651	41.3600169313669	43.8876518494393	45.8396683045401	53.7874431649578
"ENSG00000001167_NFYA"	99.3162295658838	74.2137312080731	80.6263496225357	91.3337619569412	113.731221962165	102.452272695158
"ENSG00000001460_STPG1"	15.1499333236094	7.51531455271627	16.9055249208543	14.2338330322506	21.5490736349366	10.2452272695158
"ENSG00000001461_NIPAL3"	46.2914629332509	59.1831021026406	53.9676372473424	48.6322628601895	65.8443916623062	60.1907102084052
"ENSG00000001497_LAS1L"	157.390973973053	137.154490587072	154.100361778556	162.502927118194	125.70292953713	105.013579512537
"ENSG00000001561_ENPP4"	39.558159233869	48.8495445926557	38.3625373204	36.770735333314	44.2953180273696	58.9100567997157
"ENSG00000001617_SEMA3F"	4.20831481211372	5.6364859145372	8.45276246042713	5.93076376343774	5.98585378748238	7.68392045213683
