NAME	LT_HSC_Ctrl_1	LT_HSC_Ctrl_2	LT_HSC_Ctrl_3	LT_HSC_shCTCF_1	LT_HSC_shCTCF_2	LT_HSC_shCTCF_3	ST_HSC_Ctrl_1	ST_HSC_Ctrl_2	ST_HSC_Ctrl_3	ST_HSC_shCTCF_1	ST_HSC_shCTCF_2	ST_HSC_shCTCF_3	CD34+/CD38+_Ctrl_1	CD34+/CD38+_Ctrl_2	CD34+/CD38+_Ctrl_3	CD34+/CD38+shCTCF_1	CD34+/CD38+shCTCF_2	CD34+/CD38+shCTCF_3
DDX11L1	0.0369619	0.113391	0	0.0347432	0.10985	0.0731319	0.0381122	0.079355	0.0824101	0.155081	0.0385558	0.216931	0	0.226544	0	0.0414202	0	0
OR4F5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC100132062,LOC100133331	0	0.012976	0	0	0.0126543	0	0	0	0	0	0	0.0246652	0	0	0	0	0.0140147	0
OR4F3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC643837	3.47619	3.45238	3.81035	3.45044	3.99496	3.32916	3.86632	3.28996	3.11379	3.56035	3.74841	3.46436	3.63649	3.04674	3.20022	3.39887	3.31661	3.56362
SAMD11	0.0963284	0.0491204	0.0455689	0	0.0239852	0	0.149768	0.0512388	0.0264616	0.0251378	0	0	0	0.024796	0.0595632	0	0.0262715	0.0486288
KLHL17	1.22803	1.06684	0.973863	0.838822	0.684435	0.749995	1.3365	1.43237	1.33611	1.63165	1.60286	1.36239	1.70104	0.908135	1.90686	1.63652	1.6209	0.792167
PLEKHN1	0.025275	0	0.0479591	0.0237472	0.0250015	0.0475067	0	0	0	0	0	0	0	0	0	0	0	0
ISG15	77.7812	66.4672	83.1598	71.2071	86.5486	98.8343	75.9017	70.9125	90.2374	82.6137	74.9429	82.5906	60.9949	59.7893	45.1729	53.4349	48.6377	58.6653
AGRN	0.320289	0.58847	0.447484	0.280075	0.43825	0.567341	0.195502	0.201532	0.304666	0.355432	0.521162	0.593256	0.265481	0.243107	0.16069	0.320391	0.126981	0.206176
LOC254099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR200B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR200A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TTLL10	0.463238	0.191339	0.344945	0.284356	0.305508	0.155699	0.488891	0.817407	0.48166	0.615731	0.739185	0.819318	0.457839	0.806141	0.690759	0.577716	0.516505	0.574099
B3GALT6	25.9243	21.0504	21.9536	21.6173	18.4982	22.1352	28.5614	25.8575	27.7375	28.0848	26.4125	26.7252	21.3517	17.5281	20.645	24.0896	21.4055	16.9188
SCNN1D	0.323886	0.483585	0.234716	0.0894495	0.43313	0.508055	0.412999	0.183168	0.59038	0.337764	0.336774	0.349828	0.219313	0.542246	0.63542	0.316732	0.23007	0.168652
PUSL1	22.474	21.8297	23.7725	21.3902	21.4217	18.3117	29.6428	25.2471	29.4561	26.9595	25.1014	31.3032	28.2437	22.6397	18.4089	23.9447	18.2288	21.399
GLTPD1	7.55848	6.39627	6.08619	4.67546	5.00297	5.62905	6.83749	5.84028	6.67706	6.98352	6.73371	7.26428	4.84091	4.09188	3.9964	4.94892	3.66851	3.26083
TAS1R3	0	0.0227484	0.0212172	0	0.0442534	0.0442135	0.230931	0.0957001	0.0991885	0.0934412	0.0931222	0.021673	0	0.0455062	0	0.0248505	0.0246132	0.0661595
LOC148413	16.6688	15.3435	17.8821	12.2224	12.2636	13.4106	16.9432	14.472	17.8793	19.4318	15.9741	18.0012	15.3667	13.9287	12.9849	13.7053	14.2534	12.6006
TMEM88B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VWA1	0.45883	0.473475	0.59762	0.3324	0.267963	0.669362	0.343372	0.211923	0.27432	0.715868	0.218563	0.404804	0.0147091	0.0130226	0	0	0.0281026	0.0114505
ATAD3C	0.0571705	0	0.0270669	0.0268356	0.0282376	0	0.0147576	0	0.0631475	0.0148821	0.0296974	0.0137683	0	0.0434892	0.0176034	0.0315888	0.0312935	0.0560717
ATAD3B	8.83048	6.88697	7.07261	6.1151	4.8935	7.32161	10.5051	8.00162	10.2109	9.51933	9.09087	10.3734	8.83689	6.28556	6.97966	10.2094	6.72364	6.56147
ATAD3A	15.3256	12.4243	14.1989	10.764	8.57724	10.8917	19.467	15.1641	16.9211	17.0749	15.7098	16.0964	12.81	10.86	9.88745	15.381	11.8514	7.74832
MIB2	6.98328	5.22412	6.40315	4.55583	3.30449	6.3175	7.12188	6.04827	7.82585	6.28945	6.36015	7.55025	2.46902	2.85284	4.14451	3.30645	3.73766	1.96594
MMP23A,MMP23B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMP23A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CALML6	0	0.126385	0	0	0	0	0	0.0661272	0	0	0	0	0	0	0	0	0	0
GABRD	0.0926988	0	0	0.17421	0.0611752	0.0611028	0	0.0331149	0.103085	0.0323475	0.0965913	0.0903032	0	0	0.0384474	0.0344969	0.10248	0
PRKCZ	5.21848	6.01528	5.87399	5.86284	6.35629	4.85121	3.39233	1.99258	3.95022	3.72171	2.89931	3.50628	0.180367	0.754314	0.729936	0.48705	0.821166	0.974778
SKI	0.651574	0.850011	0.84874	0.824235	1.0721	0.782724	0.750996	0.804898	0.832791	0.755925	1.00961	0.86139	0.927253	1.03282	0.63779	1.08206	0.556657	0.784957
RER1	48.4537	49.1006	50.5573	49.4882	50.7238	50.527	51.4382	52.3073	52.2018	52.4164	54.3815	50.4672	56.7538	56.6357	49.1863	56.4365	53.4417	57.6217
PLCH2	0.0786678	0.0113744	0.0319073	0.0527431	0.0110973	0.0221828	0	0	0	0.0116902	0.0116692	0.0108039	0	0	0.0138157	0	0	0
TNFRSF14	18.1503	22.1655	21.4724	15.562	22.1547	19.2791	17.2007	19.429	19.6835	17.797	20.2369	20.8733	8.96166	8.1957	7.00731	8.30708	8.34763	7.24129
FAM213B	18.1726	15.3489	17.2837	10.9514	12.757	14.4264	17.9568	14.8396	16.4334	17.7522	14.9031	17.5865	11.1985	8.53971	9.5847	11.9676	9.18526	6.20469
ACTRT2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
