gene_id	sample_1	sample_2	status	value_1	value_2	log2_fold_change	test_stat	p_value	q_value	Gene Name
XLOC_000026	HSC_LacZ	HSC_shCTCF	OK	13.983	10.0776	-0.472511	-1.52042	0.0075	0.0364525	ATAD3A
XLOC_000052	HSC_LacZ	HSC_shCTCF	OK	30.1487	22.8365	-0.400755	-1.59005	0.0059	0.0300385	KCNAB2
XLOC_000070	HSC_LacZ	HSC_shCTCF	OK	8.50616	5.89194	-0.529766	-1.68586	0.00375	0.0207827	TMEM201
XLOC_000114	HSC_LacZ	HSC_shCTCF	OK	8.15173	11.7413	0.526411	1.49656	0.0095	0.044054	TMEM51
XLOC_000131	HSC_LacZ	HSC_shCTCF	OK	40.4148	26.5199	-0.607805	-2.31793	0.0002	0.00176911	NECAP2
XLOC_000135	HSC_LacZ	HSC_shCTCF	OK	4.18004	2.5197	-0.730268	-2.28728	0.00025	0.00214661	CROCC
XLOC_000138	HSC_LacZ	HSC_shCTCF	OK	11.0564	15.385	0.47664	1.7276	0.0082	0.0391689	PADI4
XLOC_000155	HSC_LacZ	HSC_shCTCF	OK	13.3442	6.24491	-1.09546	-3.28911	0.00005	0.000514911	CDA
XLOC_000179	HSC_LacZ	HSC_shCTCF	OK	30.277	17.1152	-0.82295	-3.28261	0.00005	0.000514911	LYPLA2
XLOC_000194	HSC_LacZ	HSC_shCTCF	OK	18.4285	12.9195	-0.512394	-1.9612	0.0006	0.00452841	SEPN1
XLOC_000220	HSC_LacZ	HSC_shCTCF	OK	2.48964	1.36432	-0.867762	-1.81583	0.0071	0.0348862	GPR3
XLOC_000251	HSC_LacZ	HSC_shCTCF	OK	53.1269	36.8504	-0.527762	-2.47719	0.00005	0.000514911	TXLNA
XLOC_000277	HSC_LacZ	HSC_shCTCF	OK	20.6554	15.9107	-0.376526	-1.65769	0.00545	0.0281808	ZMYM4
XLOC_000281	HSC_LacZ	HSC_shCTCF	OK	7.68708	4.67694	-0.716869	-2.65785	0.00005	0.000514911	AGO1
XLOC_000285	HSC_LacZ	HSC_shCTCF	OK	21.7846	16.0196	-0.443472	-1.82749	0.00375	0.0207827	MAP7D1
