feature,p_val,avg_logFC,pct.1,pct.2,p_val_adj,avg_log2FC
KIAA0125,4.60E-69,-0.203997614,0.746,0.872,1.55E-64,-0.203997614
LTB,9.07E-71,-0.182184053,0.181,0.335,3.06E-66,-0.182184053
CD74,2.17E-65,-0.173698267,0.978,0.995,7.30E-61,-0.173698267
GNG11,2.26E-86,-0.167204293,0.749,0.897,7.60E-82,-0.167204293
HLA-DRA,1.30E-45,-0.166865496,0.939,0.969,4.38E-41,-0.166865496
HLA-DQA1,7.37E-70,-0.159520367,0.404,0.579,2.48E-65,-0.159520367
HLA-DPA1,6.27E-35,-0.132360004,0.877,0.932,2.11E-30,-0.132360004
PRSS2,2.31E-46,-0.131043307,0.18,0.295,7.79E-42,-0.131043307
HLA-DQB1,1.15E-76,-0.128829798,0.536,0.714,3.89E-72,-0.128829798
CD52,1.17E-74,-0.128707585,0.863,0.96,3.94E-70,-0.128707585
OCIAD2,4.38E-67,-0.126886804,0.734,0.872,1.48E-62,-0.126886804
HLA-DPB1,2.87E-37,-0.126828419,0.79,0.882,9.68E-33,-0.126828419
B2M,1.42E-85,-0.126432596,0.998,1,4.78E-81,-0.126432596
PRDX1,5.44E-64,-0.125255877,0.992,0.997,1.83E-59,-0.125255877
S100A4,3.38E-38,-0.123587489,0.943,0.979,1.14E-33,-0.123587489
HOPX,1.55E-90,-0.119433558,0.558,0.745,5.22E-86,-0.119433558
HLA-DRB1,5.13E-28,-0.115671296,0.899,0.942,1.73E-23,-0.115671296
TM4SF1,1.51E-65,-0.112608624,0.242,0.389,5.08E-61,-0.112608624
RPL23A,3.30E-159,-0.112291234,1,1,1.11E-154,-0.112291234
HLA-B,7.68E-41,-0.11203325,0.949,0.981,2.59E-36,-0.11203325
C1QTNF4,3.33E-72,-0.109314292,0.584,0.749,1.12E-67,-0.109314292
NFKBIA,1.13E-69,-0.105684173,0.331,0.491,3.79E-65,-0.105684173
HEMGN,1.08E-93,-0.105406855,0.14,0.289,3.65E-89,-0.105406855
IFI16,4.29E-73,-0.104173026,0.742,0.884,1.45E-68,-0.104173026
SOCS2,3.81E-61,-0.103743,0.516,0.673,1.29E-56,-0.103743
MARCKS,5.67E-69,-0.099177604,0.464,0.627,1.91E-64,-0.099177604
CYTL1,1.17E-89,-0.098721354,0.481,0.663,3.95E-85,-0.098721354
ANXA5,1.31E-92,-0.094433566,0.456,0.639,4.40E-88,-0.094433566
LIMS1,5.69E-68,-0.092765674,0.674,0.823,1.92E-63,-0.092765674
HLA-C,1.12E-31,-0.090882026,0.93,0.97,3.77E-27,-0.090882026
BEX2,2.25E-93,-0.090277839,0.425,0.606,7.60E-89,-0.090277839
HLA-A,1.24E-24,-0.090188267,0.959,0.981,4.17E-20,-0.090188267
ITM2B,2.66E-42,-0.089395757,0.857,0.939,8.97E-38,-0.089395757
PSMB9,4.25E-88,-0.089025308,0.482,0.659,1.43E-83,-0.089025308
MSI2,6.08E-77,-0.085315284,0.528,0.694,2.05E-72,-0.085315284
MECOM,3.57E-95,-0.085025591,0.04,0.151,1.20E-90,-0.085025591
ISCU,4.19E-75,-0.084830992,0.574,0.736,1.41E-70,-0.084830992
SPINK2,3.15E-54,-0.084707424,0.696,0.827,1.06E-49,-0.084707424
AC004540.4,3.90E-93,-0.084130757,0.171,0.315,1.31E-88,-0.084130757
MDK,1.68E-45,-0.083846765,0.681,0.805,5.65E-41,-0.083846765
CST3,7.03E-78,-0.082507069,0.466,0.63,2.37E-73,-0.082507069
SH3BP5,1.38E-92,-0.08248087,0.329,0.497,4.65E-88,-0.08248087
NPC2,2.26E-76,-0.081304987,0.662,0.818,7.62E-72,-0.081304987
CKS2,1.64E-27,-0.080586553,0.624,0.724,5.52E-23,-0.080586553
ETS2,1.10E-76,-0.080448565,0.454,0.617,3.72E-72,-0.080448565
GSN,6.03E-83,-0.079644231,0.378,0.541,2.03E-78,-0.079644231
GALNT2,6.49E-59,-0.079565324,0.604,0.749,2.19E-54,-0.079565324
LRRC75A,5.37E-44,-0.079281361,0.326,0.449,1.81E-39,-0.079281361
CAPZB,1.43E-41,-0.079032711,0.782,0.885,4.82E-37,-0.079032711
HMGB2,9.49E-16,-0.078785098,0.863,0.915,3.20E-11,-0.078785098
ARPC3,4.69E-31,-0.07821006,0.982,0.992,1.58E-26,-0.07821006
IFITM3,1.29E-87,-0.078181649,0.451,0.623,4.35E-83,-0.078181649
SPINT2,8.65E-73,-0.077853523,0.666,0.819,2.92E-68,-0.077853523
H3F3A,2.88E-44,-0.077700098,0.998,0.999,9.72E-40,-0.077700098
NDUFB3,2.20E-39,-0.077057481,0.827,0.916,7.41E-35,-0.077057481
RPL24,3.07E-74,-0.076982153,1,0.999,1.03E-69,-0.076982153
PSME1,9.92E-38,-0.076697129,0.921,0.974,3.34E-33,-0.076697129
HLA-E,1.16E-47,-0.075934888,0.794,0.9,3.89E-43,-0.075934888
NGFRAP1,5.72E-59,-0.075900773,0.735,0.863,1.93E-54,-0.075900773
AKR1A1,4.42E-48,-0.075730529,0.766,0.878,1.49E-43,-0.075730529
GLIPR1,9.39E-57,-0.074914739,0.388,0.526,3.16E-52,-0.074914739
ACOT13,4.39E-83,-0.074892106,0.473,0.64,1.48E-78,-0.074892106
S100A11,7.95E-28,-0.074227497,0.952,0.983,2.68E-23,-0.074227497
STAT1,1.44E-65,-0.073862308,0.391,0.537,4.86E-61,-0.073862308
AVP,6.48E-31,-0.073693434,0.83,0.909,2.18E-26,-0.073693434
ALYREF,2.93E-50,-0.073016482,0.646,0.775,9.89E-46,-0.073016482
RBPMS,2.86E-93,-0.072796903,0.264,0.417,9.63E-89,-0.072796903
CLEC2B,4.82E-85,-0.071769433,0.391,0.555,1.62E-80,-0.071769433
NRIP1,5.21E-59,-0.071615617,0.528,0.672,1.76E-54,-0.071615617
HLA-DRB5,9.65E-13,-0.071444054,0.332,0.4,3.25E-08,-0.071444054
UBE2C,6.69E-11,-0.071152603,0.524,0.59,2.26E-06,-0.071152603
ELN,2.37E-73,-0.07079621,0.211,0.341,7.98E-69,-0.07079621
ATP5G2,1.83E-36,-0.069960762,0.996,0.999,6.16E-32,-0.069960762
CSTB,8.77E-42,-0.069857846,0.836,0.925,2.96E-37,-0.069857846
ATP5H,1.83E-44,-0.069503714,0.848,0.936,6.17E-40,-0.069503714
CYP1B1,4.85E-61,-0.069382939,0.34,0.476,1.63E-56,-0.069382939
AIF1,6.20E-29,-0.069352965,0.993,0.996,2.09E-24,-0.069352965
PSMB8,9.32E-38,-0.069249932,0.811,0.903,3.14E-33,-0.069249932
MEF2C,1.33E-92,-0.068781824,0.45,0.619,4.47E-88,-0.068781824
NUTF2,5.22E-67,-0.068483097,0.617,0.763,1.76E-62,-0.068483097
ZFAS1,3.42E-27,-0.068380264,0.995,0.997,1.15E-22,-0.068380264
BST2,3.33E-35,-0.067459547,0.835,0.918,1.12E-30,-0.067459547
BIN1,1.72E-73,-0.066269781,0.519,0.675,5.80E-69,-0.066269781
MS4A4A,1.76E-61,-0.065876433,0.257,0.383,5.93E-57,-0.065876433
SRP9,7.79E-35,-0.06571593,0.848,0.927,2.63E-30,-0.06571593
ALDH2,4.80E-93,-0.065542612,0.297,0.453,1.62E-88,-0.065542612
GSTP1,1.24E-30,-0.06500745,0.997,0.999,4.18E-26,-0.06500745
WBP5,9.29E-88,-0.064451636,0.401,0.562,3.13E-83,-0.064451636
CD48,1.33E-48,-0.063290661,0.692,0.815,4.48E-44,-0.063290661
RGS10,1.66E-46,-0.063176316,0.757,0.868,5.60E-42,-0.063176316
CD53,1.15E-80,-0.062892871,0.486,0.644,3.89E-76,-0.062892871
MLLT3,6.88E-59,-0.062824997,0.294,0.421,2.32E-54,-0.062824997
PCBP2,1.40E-38,-0.062743377,0.881,0.953,4.70E-34,-0.062743377
JAML,1.95E-109,-0.06261827,0.328,0.496,6.57E-105,-0.06261827
PLAC8,1.04E-63,-0.062592571,0.566,0.71,3.49E-59,-0.062592571
