feature,p_val,avg_logFC,pct.1,pct.2,p_val_adj,avg_log2FC
JARID2,2.82E-54,0.035000991,0.239,0.271,9.51E-50,0.035000991
CLINT1,4.69E-77,0.035225788,0.471,0.555,1.58E-72,0.035225788
SLBP,1.32E-35,0.035247555,0.667,0.729,4.44E-31,0.035247555
IDH3B,1.62E-61,0.035266355,0.58,0.657,5.45E-57,0.035266355
MMAB,8.99E-54,0.035312224,0.42,0.47,3.03E-49,0.035312224
MESDC2,6.86E-67,0.035370703,0.559,0.638,2.31E-62,0.035370703
SPN,2.62E-60,0.035397043,0.731,0.817,8.84E-56,0.035397043
PTBP1,4.64E-62,0.035407765,0.589,0.666,1.56E-57,0.035407765
PDAP1,1.49E-50,0.035420687,0.761,0.833,5.00E-46,0.035420687
CDV3,3.43E-43,0.035442508,0.709,0.778,1.15E-38,0.035442508
EIF4G1,4.65E-63,0.035442999,0.477,0.549,1.57E-58,0.035442999
VIMP,1.90E-64,0.035443915,0.384,0.446,6.40E-60,0.035443915
LONP1,4.25E-65,0.03547159,0.307,0.348,1.43E-60,0.03547159
VCP,3.98E-57,0.035552121,0.677,0.753,1.34E-52,0.035552121
TNFAIP8,4.60E-56,0.035566623,0.294,0.336,1.55E-51,0.035566623
NKTR,3.54E-58,0.035600827,0.579,0.659,1.19E-53,0.035600827
FASN,1.28E-48,0.035604653,0.261,0.293,4.31E-44,0.035604653
EFTUD2,3.18E-64,0.035745933,0.415,0.474,1.07E-59,0.035745933
SMC1A,1.12E-43,0.03574838,0.575,0.639,3.77E-39,0.03574838
DYNC1H1,1.11E-45,0.035759746,0.381,0.425,3.74E-41,0.035759746
GDI2,1.72E-32,0.035767985,0.834,0.886,5.78E-28,0.035767985
SIGMAR1,3.67E-56,0.03589151,0.381,0.435,1.24E-51,0.03589151
CFD,7.77E-35,0.035934391,0.13,0.142,2.62E-30,0.035934391
RILPL2,1.84E-58,0.036019762,0.625,0.706,6.20E-54,0.036019762
STXBP2,2.73E-70,0.036046964,0.268,0.312,9.20E-66,0.036046964
DHCR7,2.89E-56,0.036074351,0.262,0.3,9.74E-52,0.036074351
MFSD12,8.27E-75,0.036153307,0.282,0.328,2.79E-70,0.036153307
CANX,1.59E-47,0.036160258,0.787,0.857,5.34E-43,0.036160258
IARS2,1.22E-69,0.036165982,0.508,0.585,4.11E-65,0.036165982
ZNF580,5.36E-71,0.036180872,0.488,0.568,1.81E-66,0.036180872
FNBP4,4.13E-71,0.036607759,0.416,0.485,1.39E-66,0.036607759
TMEM147,9.41E-67,0.036608539,0.664,0.75,3.17E-62,0.036608539
MYBL2,1.16E-41,0.036629698,0.497,0.548,3.92E-37,0.036629698
TXNDC17,3.03E-26,0.036643976,0.884,0.927,1.02E-21,0.036643976
KIF5B,8.93E-63,0.036661213,0.574,0.652,3.01E-58,0.036661213
PRDX4,1.36E-22,0.036663936,0.867,0.905,4.59E-18,0.036663936
ENO1,1.97E-05,0.036670568,0.996,0.998,0.662335842,0.036670568
APRT,2.66E-17,0.036741858,0.917,0.947,8.97E-13,0.036741858
IRAK1,4.68E-66,0.036838865,0.456,0.526,1.58E-61,0.036838865
SF3B2,3.05E-34,0.036938071,0.836,0.889,1.03E-29,0.036938071
