Genes	B	CD4	CD8	CLP	CMP	Ery	GMP-A	GMP-B	GMP-C	HSC	LMPP	MEP	Mono	MPP	NK	pDC
OR4F5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL627309.1	297	91	56	14	48	8	11	20	10	63	38	54	309	148	51	68
OR4F29	1	0	1	0	0	0	6	1	14	0	0	0	0	0	0	0
OR4F16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL669831.1	6	11	7	58	9	6	0	0	0	7	4	2	5	4	21	5
AL645608.2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
SAMD11	0	2	0	0	4	0	10	13	0	0	1	0	0	15	0	0
AL645608.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
NOC2L	169	307	325	38	578	12	178	116	67	314	381	867	426	715	150	331
KLHL17	23	12	7	0	0	0	6	1	17	0	7	5	16	0	10	7
PLEKHN1	0	2	0	0	0	0	0	0	0	0	0	0	6	0	7	0
C1orf170	0	2	2	0	0	0	0	0	0	0	0	0	1	0	1	0
HES4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	392
ISG15	18	58	64	2	85	8	31	25	0	45	85	53	185	94	95	8
AGRN	4	21	38	3	76	10	10	32	34	10	39	190	143	27	23	31
RNF223	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
C1orf159	26	68	43	5	48	0	6	90	6	29	26	97	70	56	36	133
TTLL10	2	1	0	0	34	0	37	0	17	21	5	100	1	24	7	1
TNFRSF18	1	6	0	0	0	0	0	0	0	0	1	0	0	1	106	0
TNFRSF4	1	1	1	0	0	0	0	0	0	0	1	1	5	1	1	0
SDF4	237	545	385	12	1045	8	666	631	583	425	386	1149	1240	893	573	509
B3GALT6	326	531	399	165	1469	24	236	392	907	604	802	2384	859	1190	742	1100
FAM132A	1	0	1	1	3	0	0	0	0	0	1	1	1	1	0	0
UBE2J2	171	447	287	167	609	85	143	129	124	340	362	1061	874	536	336	198
SCNN1D	0	12	1	0	1	0	4	0	0	0	14	13	7	4	0	3
PUSL1	30	80	65	3	213	3	43	126	141	92	99	318	239	193	38	157
ACAP3	9	48	11	3	96	3	213	155	6	39	78	68	101	99	20	64
CPSF3L	231	536	297	92	1103	110	172	291	186	489	518	1137	723	954	347	374
GLTPD1	52	31	12	6	50	2	6	19	38	34	31	62	31	82	42	67
TAS1R3	2	2	1	0	4	0	0	1	0	10	1	2	1	13	6	2
DVL1	4	76	42	0	138	2	41	144	74	69	59	268	89	157	50	170
MXRA8	0	27	101	0	8	0	0	0	4	2	2	1	2	0	1	0
AURKAIP1	435	628	538	144	1248	69	498	538	1333	524	469	1247	1160	890	265	615
CCNL2	817	1655	1064	858	755	271	364	202	103	859	517	1114	1714	1093	1216	1276
RP4-758J18.2	150	693	433	93	687	10	50	302	88	204	279	580	693	358	312	319
MRPL20	1015	1897	1527	929	1844	928	262	390	193	790	1027	2589	1371	1248	1554	301
ANKRD65	1	3	1	0	25	0	44	118	587	148	61	2	5	75	1	731
TMEM88B	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
VWA1	0	0	0	0	14	0	65	12	12	36	46	0	0	60	0	27
ATAD3C	6	36	24	1	8	0	1	1	0	3	28	1	0	15	22	1
ATAD3B	42	81	35	7	132	4	45	298	153	52	76	154	33	61	36	214
ATAD3A	11	15	17	3	235	1	316	643	947	64	136	497	82	99	23	454
TMEM240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SSU72	2699	4094	3335	954	4906	456	1110	1141	2254	3208	2036	4992	4388	4370	1759	1693
AL645728.1	49	123	290	4	54	1	75	38	0	24	10	62	251	22	8	24
C1orf233	13	72	48	1	789	0	371	254	334	299	440	1420	278	483	62	10
MIB2	24	138	103	4	27	2	9	53	5	16	29	60	31	83	599	65
MMP23B	0	2	3	0	0	0	0	0	0	0	0	2	1	0	34	0
CDK11B	311	487	360	139	641	89	248	398	178	419	252	741	631	566	409	826
SLC35E2B	1795	3322	2111	1655	3609	200	400	735	2234	2565	1281	4279	2551	3411	1707	3232
CDK11A	876	1418	1003	600	956	685	584	511	865	889	440	1267	1469	855	1234	1016
SLC35E2	94	249	140	52	169	3	37	63	272	197	81	186	84	274	67	176
NADK	876	413	279	220	733	81	69	163	223	481	261	1132	4733	787	500	1185
GNB1	11322	15038	10676	10483	25307	1722	13491	13299	27428	15834	11903	21465	29889	20568	12877	31256
CALML6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
TMEM52	0	0	1	0	1	0	0	0	0	0	0	7	0	0	0	1
C1orf222	0	3	0	0	0	0	0	0	0	0	1	1	3	3	1	0
GABRD	0	0	0	0	0	0	5	0	0	0	6	0	1	1	0	5
PRKCZ	177	287	215	0	263	0	51	51	0	328	118	163	59	413	149	2
