# WARNING: this file is not sorted!
# db	id                         alt	 E-value	adj_p-value	log_adj_p-value	bin_location	bin_width	total_width	sites_in_bin	total_sites	p_success	 p-value	mult_tests
   1	1                         MEME	1.7e-137	   4.1e-140	        -320.96	         0.0	      158	        490	        5240	      12101	  0.32245	1.7e-142	       244
   1	2                         MEME	1.9e-005	   4.6e-008	         -16.90	         0.0	      162	        480	        2265	       6022	  0.33750	1.9e-010	       239
   1	6                         MEME	2.3e-046	   5.4e-049	        -111.15	         0.0	       95	        481	        1241	       4211	  0.19751	2.2e-051	       240
   1	7                         MEME	2.8e-002	   6.6e-005	          -9.63	         0.0	      191	        471	        3458	       7982	  0.40552	2.8e-007	       235
   2	AGGAARY                  DREME	1.1e-194	   2.7e-197	        -452.61	         0.0	      174	        494	        3659	       6903	  0.35223	1.1e-199	       246
   2	BTTCCB                   DREME	2.9e-053	   6.8e-056	        -127.03	         0.0	      165	        495	        5102	      12707	  0.33333	2.7e-058	       247
   2	RVCCACA                  DREME	1.7e-091	   4.0e-094	        -215.07	         0.0	      180	        494	        3166	       6441	  0.36437	1.6e-096	       246
   2	CHCCRCCC                 DREME	1.1e-015	   2.5e-018	         -40.52	         0.0	      215	        493	        2153	       4247	  0.43611	1.0e-020	       246
   2	TGAGTCAB                 DREME	5.0e-081	   1.2e-083	        -190.94	         0.0	      173	        493	         843	       1378	  0.35091	4.9e-086	       246
   2	AGRKGGCG                 DREME	4.4e-029	   1.0e-031	         -71.34	         0.0	      205	        493	         901	       1588	  0.41582	4.2e-034	       246
   2	ACGTSW                   DREME	1.8e-022	   4.3e-025	         -56.10	         0.0	      179	        495	        1423	       3119	  0.36162	1.7e-027	       247
   3	AHR_HUMAN.H11MO.0.B AHR_HUMAN.H11MO.0.B	7.4e-005	   1.8e-007	         -15.55	         0.0	      204	        492	        3415	       7606	  0.41463	7.2e-010	       245
   3	AP2B_HUMAN.H11MO.0.B AP2B_HUMAN.H11MO.0.B	2.2e-003	   5.2e-006	         -12.18	         0.0	      181	        491	        4539	      11539	  0.36864	2.1e-008	       245
   3	ARNT_HUMAN.H11MO.0.B ARNT_HUMAN.H11MO.0.B	8.8e-009	   2.1e-011	         -24.60	         0.0	      206	        492	        4048	       8847	  0.41870	8.5e-014	       245
   3	ASCL1_HUMAN.H11MO.0.A ASCL1_HUMAN.H11MO.0.A	1.5e-009	   3.5e-012	         -26.38	         0.0	      171	        487	        4250	      11009	  0.35113	1.4e-014	       243
   3	ATF1_HUMAN.H11MO.0.B ATF1_HUMAN.H11MO.0.B	6.5e-028	   1.6e-030	         -68.64	         0.0	      126	        490	        3492	      11379	  0.25714	6.4e-033	       244
   3	ATF2_HUMAN.H11MO.0.B ATF2_HUMAN.H11MO.0.B	3.8e-009	   8.9e-012	         -25.44	         0.0	      124	        490	        2989	      10477	  0.25306	3.7e-014	       244
   3	ATF3_HUMAN.H11MO.0.A ATF3_HUMAN.H11MO.0.A	3.7e-029	   8.8e-032	         -71.51	         0.0	      124	        490	        3000	       9752	  0.25306	3.6e-034	       244
   3	ATF4_HUMAN.H11MO.0.A ATF4_HUMAN.H11MO.0.A	9.0e-001	   2.1e-003	          -6.15	         0.0	       41	        489	         347	       3285	  0.08384	8.7e-006	       244
   3	ATF6A_HUMAN.H11MO.0.B ATF6A_HUMAN.H11MO.0.B	4.6e-010	   1.1e-012	         -27.54	         0.0	      195	        489	        1141	       2390	  0.39877	4.5e-015	       244
   3	ATOH1_HUMAN.H11MO.0.B ATOH1_HUMAN.H11MO.0.B	1.8e-027	   4.3e-030	         -67.62	         0.0	      192	        492	        4483	      10000	  0.39024	1.8e-032	       245
   3	BACH1_HUMAN.H11MO.0.A BACH1_HUMAN.H11MO.0.A	1.5e-028	   3.7e-031	         -70.08	         0.0	      232	        488	        5623	      10530	  0.47541	1.5e-033	       243
   3	BACH2_HUMAN.H11MO.0.A BACH2_HUMAN.H11MO.0.A	3.0e-040	   7.2e-043	         -97.03	         0.0	      240	        490	        5787	      10354	  0.48980	3.0e-045	       244
   3	BC11A_HUMAN.H11MO.0.A BC11A_HUMAN.H11MO.0.A	2.7e-028	   6.3e-031	         -69.53	         0.0	      116	        484	        3683	      12897	  0.23967	2.6e-033	       241
   3	BHA15_HUMAN.H11MO.0.B BHA15_HUMAN.H11MO.0.B	2.7e-023	   6.3e-026	         -58.02	         0.0	      170	        490	        4371	      11002	  0.34694	2.6e-028	       244
   3	BHE40_HUMAN.H11MO.0.A BHE40_HUMAN.H11MO.0.A	8.8e-003	   2.1e-005	         -10.77	         0.0	      151	        491	        3108	       9340	  0.30754	8.5e-008	       245
   3	BMAL1_HUMAN.H11MO.0.A BMAL1_HUMAN.H11MO.0.A	6.3e-008	   1.5e-010	         -22.62	         0.0	      138	        490	        3267	      10428	  0.28163	6.2e-013	       244
   3	CEBPD_HUMAN.H11MO.0.C CEBPD_HUMAN.H11MO.0.C	2.4e-001	   5.8e-004	          -7.46	         0.0	      194	        490	        5136	      12341	  0.39592	2.4e-006	       244
   3	CEBPG_HUMAN.H11MO.0.B CEBPG_HUMAN.H11MO.0.B	2.8e0000	   6.6e-003	          -5.01	         0.0	      181	        489	        2542	       6443	  0.37014	2.7e-005	       244
   3	CLOCK_HUMAN.H11MO.0.C CLOCK_HUMAN.H11MO.0.C	1.7e-007	   4.1e-010	         -21.63	         0.0	      195	        487	        5573	      12945	  0.40041	1.7e-012	       243
   3	CREB1_HUMAN.H11MO.0.A CREB1_HUMAN.H11MO.0.A	2.7e-031	   6.4e-034	         -76.43	         0.0	      134	        490	        3231	       9757	  0.27347	2.6e-036	       244
   3	CREM_HUMAN.H11MO.0.C CREM_HUMAN.H11MO.0.C	1.3e-003	   3.0e-006	         -12.71	         0.0	      172	        490	        2894	       7578	  0.35102	1.2e-008	       244
   3	CTCFL_HUMAN.H11MO.0.A CTCFL_HUMAN.H11MO.0.A	4.6e-113	   1.1e-115	        -264.70	         0.0	      164	        484	        3628	       7793	  0.33884	4.6e-118	       241
   3	CTCF_HUMAN.H11MO.0.A CTCF_HUMAN.H11MO.0.A	1.7e-114	   3.9e-117	        -268.03	         0.0	      162	        482	        2988	       6242	  0.33610	1.6e-119	       240
   3	E2F1_HUMAN.H11MO.0.A E2F1_HUMAN.H11MO.0.A	3.7e-013	   8.9e-016	         -34.66	         0.0	      209	        487	        5045	      10722	  0.42916	3.7e-018	       243
   3	E2F2_HUMAN.H11MO.0.B E2F2_HUMAN.H11MO.0.B	4.1e-011	   9.8e-014	         -29.95	         0.0	      239	        491	        3360	       6248	  0.48676	4.0e-016	       245
   3	E2F4_HUMAN.H11MO.0.A E2F4_HUMAN.H11MO.0.A	5.2e-016	   1.2e-018	         -41.24	         0.0	      212	        488	        5023	      10469	  0.43443	5.1e-021	       243
   3	E2F6_HUMAN.H11MO.0.A E2F6_HUMAN.H11MO.0.A	1.3e-002	   3.2e-005	         -10.36	         0.0	      114	        488	        3135	      12371	  0.23361	1.3e-007	       243
   3	E2F7_HUMAN.H11MO.0.B E2F7_HUMAN.H11MO.0.B	1.5e-007	   3.6e-010	         -21.74	         0.0	      110	        488	        3178	      12625	  0.22541	1.5e-012	       243
   3	EGR1_HUMAN.H11MO.0.A EGR1_HUMAN.H11MO.0.A	1.2e-001	   2.9e-004	          -8.15	         0.0	      118	        484	        3094	      11781	  0.24380	1.2e-006	       241
   3	EGR2_HUMAN.H11MO.0.A EGR2_HUMAN.H11MO.0.A	1.0e0000	   2.4e-003	          -6.03	         0.0	      213	        483	        5412	      11749	  0.44099	1.0e-005	       241
   3	EHF_HUMAN.H11MO.0.B EHF_HUMAN.H11MO.0.B	2.3e-214	   5.4e-217	        -497.97	         0.0	      160	        486	        4611	       9482	  0.32922	2.2e-219	       242
   3	ELF1_HUMAN.H11MO.0.A ELF1_HUMAN.H11MO.0.A	2.2e-217	   5.2e-220	        -504.91	         0.0	      159	        487	        5159	      10890	  0.32649	2.2e-222	       243
   3	ELF2_HUMAN.H11MO.0.C ELF2_HUMAN.H11MO.0.C	3.4e-215	   8.1e-218	        -499.87	         0.0	      178	        488	        6061	      11957	  0.36475	3.4e-220	       243
   3	ELF3_HUMAN.H11MO.0.A ELF3_HUMAN.H11MO.0.A	1.6e-164	   3.8e-167	        -383.20	         0.0	      159	        487	        5052	      11154	  0.32649	1.6e-169	       243
   3	ELF5_HUMAN.H11MO.0.A ELF5_HUMAN.H11MO.0.A	9.0e-160	   2.1e-162	        -372.26	         0.0	      160	        486	        5355	      11902	  0.32922	8.8e-165	       242
   3	ELK1_HUMAN.H11MO.0.B ELK1_HUMAN.H11MO.0.B	4.7e-213	   1.1e-215	        -494.94	         0.0	      174	        490	        5106	      10027	  0.35510	4.6e-218	       244
   3	ELK4_HUMAN.H11MO.0.A ELK4_HUMAN.H11MO.0.A	3.5e-176	   8.2e-179	        -410.05	         0.0	      157	        489	        4463	       9675	  0.32106	3.4e-181	       244
   3	EPAS1_HUMAN.H11MO.0.B EPAS1_HUMAN.H11MO.0.B	6.9e-009	   1.6e-011	         -24.84	         0.0	      180	        492	        4061	      10113	  0.36585	6.7e-014	       245
   3	ERG_HUMAN.H11MO.0.A ERG_HUMAN.H11MO.0.A	1.9e-186	   4.6e-189	        -433.67	         0.0	      166	        488	        5867	      12539	  0.34016	1.9e-191	       243
   3	ETS1_HUMAN.H11MO.0.A ETS1_HUMAN.H11MO.0.A	3.1e-211	   7.5e-214	        -490.74	         0.0	      180	        488	        6084	      11927	  0.36885	3.1e-216	       243
