prim_db	prim_id	prim_alt	sec_db	sec_id	sec_alt	trim_left	trim_right	red_db	red_id	red_alt	E-value	gap	orient	count	total	adj_p-value	p-value
HOCOMOCOv11_core_HUMAN_mono_meme_format	ZBT14_HUMAN.H11MO.0.C	.	HOCOMOCOv11_core_HUMAN_mono_meme_format	ZN121_HUMAN.H11MO.0.C	.	0	0	.	.	.	2.29e-15	14	2	15	158	5.13e-22	4.62e-21
HOCOMOCOv11_core_HUMAN_mono_meme_format	ZBT14_HUMAN.H11MO.0.C	.	HOCOMOCOv11_core_HUMAN_mono_meme_format	ZN121_HUMAN.H11MO.0.C	.	0	0	.	.	.	2.29e-15	14	6	15	158	1.30e-17	1.17e-16
HOCOMOCOv11_core_HUMAN_mono_meme_format	ZBT14_HUMAN.H11MO.0.C	.	HOCOMOCOv11_core_HUMAN_mono_meme_format	ZN121_HUMAN.H11MO.0.C	.	0	0	.	.	.	2.29e-15	14	7	15	158	1.30e-17	1.17e-16
HOCOMOCOv11_core_HUMAN_mono_meme_format	ZBT14_HUMAN.H11MO.0.C	.	HOCOMOCOv11_core_HUMAN_mono_meme_format	ZN121_HUMAN.H11MO.0.C	.	0	0	.	.	.	2.29e-15	14	8	15	158	2.55e-13	2.30e-12
HOCOMOCOv11_core_HUMAN_mono_meme_format	ZBT14_HUMAN.H11MO.0.C	.	meme.xml	9	MEME	0	0	.	.	.	1.05e-07	11	3	7	29	2.53e-14	2.28e-13
HOCOMOCOv11_core_HUMAN_mono_meme_format	ZBT14_HUMAN.H11MO.0.C	.	meme.xml	9	MEME	0	0	.	.	.	1.05e-07	11	5	7	29	3.11e-12	2.80e-11
HOCOMOCOv11_core_HUMAN_mono_meme_format	ZBT14_HUMAN.H11MO.0.C	.	meme.xml	9	MEME	0	0	.	.	.	1.05e-07	11	7	7	29	3.11e-12	2.80e-11
HOCOMOCOv11_core_HUMAN_mono_meme_format	ZBT14_HUMAN.H11MO.0.C	.	meme.xml	9	MEME	0	0	.	.	.	1.05e-07	11	8	7	29	3.68e-10	3.31e-09
HOCOMOCOv11_core_HUMAN_mono_meme_format	ZBT14_HUMAN.H11MO.0.C	.	HOCOMOCOv11_core_HUMAN_mono_meme_format	SMCA5_HUMAN.H11MO.0.C	.	0	0	.	.	.	7.42e-07	0	3	15	615	1.60e-13	1.44e-12
HOCOMOCOv11_core_HUMAN_mono_meme_format	ZBT14_HUMAN.H11MO.0.C	.	HOCOMOCOv11_core_HUMAN_mono_meme_format	SMCA5_HUMAN.H11MO.0.C	.	0	0	.	.	.	7.42e-07	0	5	16	615	2.57e-10	2.32e-09
HOCOMOCOv11_core_HUMAN_mono_meme_format	ZBT14_HUMAN.H11MO.0.C	.	HOCOMOCOv11_core_HUMAN_mono_meme_format	SMCA5_HUMAN.H11MO.0.C	.	0	0	.	.	.	7.42e-07	0	7	16	615	2.57e-10	2.32e-09
HOCOMOCOv11_core_HUMAN_mono_meme_format	ZBT14_HUMAN.H11MO.0.C	.	HOCOMOCOv11_core_HUMAN_mono_meme_format	SMCA5_HUMAN.H11MO.0.C	.	0	0	.	.	.	7.42e-07	0	8	17	615	5.52e-07	4.97e-06
HOCOMOCOv11_core_HUMAN_mono_meme_format	ZBT14_HUMAN.H11MO.0.C	.	HOCOMOCOv11_core_HUMAN_mono_meme_format	TEAD1_HUMAN.H11MO.0.A	.	0	3	.	.	.	2.06e-06	4	2	14	567	4.27e-13	3.84e-12
