# WARNING: this file is not sorted!
# db	id                         alt	 E-value	adj_p-value	log_adj_p-value	bin_location	bin_width	total_width	sites_in_bin	total_sites	p_success	 p-value	mult_tests
   1	1                         MEME	5.7e-009	   1.3e-011	         -25.03	         0.0	      214	        480	        2148	       4275	  0.44583	5.6e-014	       239
   1	2                         MEME	2.2e-026	   5.2e-029	         -65.13	         0.0	      106	        486	        1834	       6572	  0.21811	2.1e-031	       242
   1	6                         MEME	4.6e-015	   1.1e-017	         -39.05	         0.0	      132	        490	         795	       2222	  0.26939	4.5e-020	       244
   1	10                        MEME	4.4e-012	   1.1e-014	         -32.18	         0.0	      202	        490	        1418	       2900	  0.41224	4.3e-017	       244
   2	AGGAARY                  DREME	7.2e-097	   1.7e-099	        -227.41	         0.0	      152	        494	        1746	       3658	  0.30769	7.0e-102	       246
   2	SVGGAA                   DREME	1.2e-043	   2.9e-046	        -104.84	         0.0	      179	        495	        2843	       6297	  0.36162	1.2e-048	       247
   2	RRCCACA                  DREME	2.9e-050	   6.8e-053	        -120.12	         0.0	      140	        494	        1166	       2756	  0.28340	2.8e-055	       246
   2	CYCCRCCC                 DREME	2.3e-010	   5.5e-013	         -28.22	         0.0	      205	        493	        1132	       2275	  0.41582	2.2e-015	       246
   2	RTGASTCA                 DREME	1.6e-045	   3.7e-048	        -109.21	         0.0	      173	        493	         428	        674	  0.35091	1.5e-050	       246
   2	CACGTGRY                 DREME	1.0e-002	   2.4e-005	         -10.64	         0.0	      243	        493	         233	        371	  0.49290	9.7e-008	       246
   2	AGATAA                   DREME	3.6e-005	   8.7e-008	         -16.26	         0.0	      125	        495	         490	       1516	  0.25253	3.5e-010	       247
   3	AHR_HUMAN.H11MO.0.B AHR_HUMAN.H11MO.0.B	1.3e0000	   3.2e-003	          -5.75	         0.0	      200	        492	        1866	       4257	  0.40650	1.3e-005	       245
   3	AP2B_HUMAN.H11MO.0.B AP2B_HUMAN.H11MO.0.B	4.2e-001	   9.9e-004	          -6.92	         0.0	      191	        491	        2639	       6335	  0.38900	4.0e-006	       245
   3	ARNT_HUMAN.H11MO.0.B ARNT_HUMAN.H11MO.0.B	1.4e-002	   3.4e-005	         -10.29	         0.0	      202	        492	        2193	       4908	  0.41057	1.4e-007	       245
   3	ASCL1_HUMAN.H11MO.0.A ASCL1_HUMAN.H11MO.0.A	3.2e-002	   7.7e-005	          -9.47	         0.0	      167	        487	        2239	       5990	  0.34292	3.2e-007	       243
   3	ATF1_HUMAN.H11MO.0.B ATF1_HUMAN.H11MO.0.B	4.8e-017	   1.1e-019	         -43.61	         0.0	      126	        490	        1921	       6164	  0.25714	4.7e-022	       244
   3	ATF2_HUMAN.H11MO.0.B ATF2_HUMAN.H11MO.0.B	5.5e-005	   1.3e-007	         -15.85	         0.0	      176	        490	        2248	       5640	  0.35918	5.4e-010	       244
   3	ATF3_HUMAN.H11MO.0.A ATF3_HUMAN.H11MO.0.A	3.9e-014	   9.1e-017	         -36.93	         0.0	      118	        490	        1568	       5333	  0.24082	3.7e-019	       244
   3	ATF6A_HUMAN.H11MO.0.B ATF6A_HUMAN.H11MO.0.B	1.1e-001	   2.6e-004	          -8.25	         0.0	       85	        489	         311	       1386	  0.17382	1.1e-006	       244
