prim_db	prim_id	prim_alt	sec_db	sec_id	sec_alt	trim_left	trim_right	red_db	red_id	red_alt	E-value	gap	orient	count	total	adj_p-value	p-value
HOCOMOCOv11_core_HUMAN_mono_meme_format	REL_HUMAN.H11MO.0.B	.	meme.xml	6	MEME	0	0	.	.	.	5.13e-23	17	3	16	67	1.25e-29	1.12e-28
HOCOMOCOv11_core_HUMAN_mono_meme_format	REL_HUMAN.H11MO.0.B	.	meme.xml	6	MEME	0	0	.	.	.	5.13e-23	17	5	16	67	7.40e-25	6.66e-24
HOCOMOCOv11_core_HUMAN_mono_meme_format	REL_HUMAN.H11MO.0.B	.	meme.xml	6	MEME	0	0	.	.	.	5.13e-23	17	7	16	67	7.40e-25	6.66e-24
HOCOMOCOv11_core_HUMAN_mono_meme_format	REL_HUMAN.H11MO.0.B	.	meme.xml	6	MEME	0	0	.	.	.	5.13e-23	17	8	17	67	9.91e-22	8.92e-21
HOCOMOCOv11_core_HUMAN_mono_meme_format	REL_HUMAN.H11MO.0.B	.	meme.xml	4	MEME	0	0	.	.	.	7.64e-16	47	2	14	106	1.81e-22	1.63e-21
HOCOMOCOv11_core_HUMAN_mono_meme_format	REL_HUMAN.H11MO.0.B	.	meme.xml	4	MEME	0	0	.	.	.	7.64e-16	47	6	14	106	2.49e-18	2.25e-17
HOCOMOCOv11_core_HUMAN_mono_meme_format	REL_HUMAN.H11MO.0.B	.	meme.xml	4	MEME	0	0	.	.	.	7.64e-16	47	7	14	106	2.49e-18	2.25e-17
HOCOMOCOv11_core_HUMAN_mono_meme_format	REL_HUMAN.H11MO.0.B	.	meme.xml	4	MEME	0	0	.	.	.	7.64e-16	47	8	14	106	2.89e-14	2.60e-13
HOCOMOCOv11_core_HUMAN_mono_meme_format	REL_HUMAN.H11MO.0.B	.	HOCOMOCOv11_core_HUMAN_mono_meme_format	ZN121_HUMAN.H11MO.0.C	.	0	0	HOCOMOCOv11_core_HUMAN_mono_meme_format	4	MEME	1.74e-10	55	2	14	264	3.90e-17	3.51e-16
HOCOMOCOv11_core_HUMAN_mono_meme_format	REL_HUMAN.H11MO.0.B	.	HOCOMOCOv11_core_HUMAN_mono_meme_format	ZN121_HUMAN.H11MO.0.C	.	0	0	HOCOMOCOv11_core_HUMAN_mono_meme_format	4	MEME	1.74e-10	55	6	15	264	2.61e-14	2.34e-13
